-- 메뉴번호|식당번호|메뉴이름|메뉴단위|통화|가격|종류

1|12|치킨 샐러드||S$|20.0|안주
2|12|오리 샐러드||S$|20.0|안주
3|12|두부김치||S$|28.0|안주
4|12|버섯불고기||S$|25.0|안주
5|12|긴따로||S$|28.0|안주
6|12|매운족발||S$|30.0|안주
7|12|낙지볶음||S$|30.0|안주
8|12|매콤한 물회||S$|30.0|안주
9|12|닭똥집||S$|20.0|안주
10|12|치즈계란말이||S$|18.0|안주
11|12|매운삼겹||S$|30.0|안주
12|12|크림새우||S$|20.0|안주
13|12|아구찜(특)||S$|35.0|안주
14|12|깐쇼새우||S$|20.0|안주
15|12|신당동 매운닭발||S$|28.0|안주
16|12|족발||S$|30.0|안주
17|12|번데기||S$|15.0|안주
18|12|닭 블랙빈소스||S$|25.0|안주
19|12|안심 블랙빈소스||S$|35.0|안주
20|12|골뱅이무침||S$|35.0|안주
21|12|김치전||S$|15.0|기타
22|12|해물파전||S$|20.0|안주
23|12|달인표 전||S$|18.0|안주
24|12|고추장찌게||S$|30.0|안주
25|12|알탕||S$|25.0|안주
26|12|지리탕||S$|38.0|안주
27|12|메로 매운탕||S$|38.0|안주
28|12|해물짬뽕탕||S$|25.0|안주
29|12|해물짬뽕탕||S$|25.0|안주
30|12|삼선 누룽지탕||S$|25.0|안주
31|12|순대 술국||S$|25.0|안주
32|12|탕수육||S$|25.0|안주
33|12|해물떡볶이||S$|25.0|안주
34|12|팔보채||S$|39.0|안주
35|12|물냉면||S$|9.9|식사
36|12|비빔냉면||S$|9.9|식사
37|12|짜장면||S$|9.9|식사
38|12|짬뽕||S$|9.9|식사
39|12|소주|1병|S$|15.0|주류
40|12|타이거|1병|S$|10.0|주류
41|12|막걸리|1병|S$|19.0|주류
42|12|백세주|1병|S$|21.0|주류
43|12|복분자|1병|S$|28.0|주류
44|12|하이트|1병|S$|5.0|주류
45|42|삼겹살|200g|S$|15.0|육류
46|42|돼지양념갈비|200g|S$|18.0|육류
47|42|BBQ갈비살|160g|S$|25.0|육류
48|42|매운돼지갈비||S$|30.0|육류
49|42|치킨 콤비네이션|후라이드반마리+양념반마리|S$|30.0|안주
50|42|후라이드 치킨|반마리|S$|15.0|안주
51|42|후라이드 치킨|한마리|S$|25.0|안주
52|42|양념 치킨|반마리|S$|18.0|안주
53|42|양념 치킨|한마리|S$|28.0|안주
54|42|맥주|1JUG|S$|20.0|주류
55|42|김치찌개||S$|12.0|식사
56|42|순두부찌개||S$|10.0|식사
57|42|된장찌개||S$|12.0|식사
58|42|육계장||S$|15.0|식사
59|42|전복삼계탕||S$|25.0|식사
60|42|고등어정식||S$|10.0|식사
61|42|철판정식||S$|12.0|식사
62|42|오징어볶음정식||S$|12.0|식사
63|42|김치볶음밥||S$|8.0|식사
64|42|돌솥비빔밥||S$|12.0|식사
65|42|라볶이||S$|12.0|분식
66|42|떡볶이||S$|10.0|분식
67|42|짜파게티||S$|6.0|분식
68|42|라면||S$|6.0|분식
69|42|군만두/찐만두||S$|12.0|분식
70|42|떡만두국||S$|12.0|분식
71|42|굴무침||S$|25.0|기타
72|42|잡채||S$|15.0|기타
73|42|김치전||S$|15.0|기타
74|42|모듬전||S$|30.0|기타
75|42|녹두전||S$|20.0|기타
76|42|닭도리탕||S$|30.0|안주
77|42|김치찜(삼겹/고등어)||S$|35.0|안주
78|42|부대찌개||S$|30.0|안주
79|42|오뎅탕||S$|20.0|안주
80|42|홍합탕||S$|20.0|안주
81|42|해물짬뽕 전골||S$|30.0|안주
82|42|낙지전골||S$|25.0|안주
83|42|순대볶음||S$|30.0|안주
84|42|계란말이||S$|15.0|안주
85|42|골뱅이소면||S$|25.0|안주
86|42|두부김치||S$|20.0|안주
87|42|알탕전골||S$|35.0|안주
88|42|왕만두전골||S$|35.0|안주
89|42|불낙전골||S$|35.0|안주
90|42|공기밥추가||S$|1.0|식사
91|42|All soft drinks||S$|2.0|음료
92|42|타이거 생맥주|1 glass|S$|7.0|주류
93|42|타이거 생맥주|1 JUG|S$|20.0|주류
94|42|이동 막걸리|1 JUG|S$|25.0|주류
95|42|소주|1병|S$|18.0|주류
96|42|하이트|1병|S$|8.0|주류
97|42|짜장면||S$|12.0|식사
98|36|식혜||S$|3.0|음료
99|36|쌕쌕||S$|3.0|음료
100|36|봉봉||S$|3.0|음료
101|36|갈아만든 배||S$|3.0|음료
102|36|삼다수||S$|3.0|음료
103|36|인삼차||S$|4.0|음료
104|36|Barly Cold Drink||S$|3.0|음료
105|36|콜라|1.5l|S$|7.0|음료
106|36|콜라|500ml|S$|3.0|음료
107|36|사이다|500ml|S$|3.0|음료
108|36|Heaven and Earth||S$|2.0|음료
109|36|Ice Lemon Tea||S$|2.0|음료
110|36|100 Plus||S$|2.0|음료
111|36|FN Ice Cream Soda||S$|2.0|음료
112|36|FN Grape||S$|2.0|음료
113|36|소주|1병|S$|16.0|주류
114|36|소주|1잔|S$|3.5|주류
115|36|막걸리|1병|S$|20.0|주류
116|36|막걸리|1잔|S$|4.0|주류
117|36|하이트|1잔|S$|6.0|주류
118|36|복분자||S$|42.0|주류
119|36|백세주|1병|S$|18.0|주류
120|36|백세주|1잔|S$|4.0|주류
121|36|Draft Tiger|JUG|S$|18.0|주류
122|36|Draft Tiger|MUG|S$|6.0|주류
123|36|Tiger|1병|S$|11.0|주류
124|36|Heineken|1캔|S$|7.0|주류
125|36|Original 치킨|1마리|S$|25.0|안주
126|36|Original 치킨|반마리|S$|13.0|안주
127|36|Boonless Original 치킨|1마리|S$|30.0|안주
128|36|Boonless Original 치킨|반마리|S$|16.0|안주
129|36|얌얌 치킨|1마리|S$|28.0|안주
130|36|얌얌 치킨|반마리|S$|15.0|안주
131|36|Boonless 얌얌 치킨|1마리|S$|33.0|안주
132|36|Boonless 얌얌 치킨|반마리|S$|17.0|안주
133|36|Soy Garlic 치킨|1마리|S$|30.0|안주
134|36|Soy Garlic 치킨|반마리|S$|16.0|안주
135|36|Boonless Soy Garlic 치킨|한마리|S$|34.0|안주
136|36|Boonless Soy Garlic 치킨|반마리|S$|18.0|안주
137|36|Volcano 치킨|1마리|S$|30.0|안주
138|36|Volcano 치킨|반마리|S$|16.0|안주
139|36|Boonless Volcano 치킨|한마리|S$|34.0|안주
140|36|Boonless Volcano 치킨|반마리|S$|18.0|안주
141|36|Sampler(Mixed)|1마리|S$|20.0|안주
142|36|갈비살 구이||S$|30.0|안주
143|36|철판불고기||S$|25.0|안주
144|36|제육볶음||S$|23.0|안주
145|36|탕수육||S$|25.0|안주
146|36|매콤떡볶이||S$|27.0|안주
147|36|삼겹살|300g|S$|23.0|안주
148|36|두부김치||S$|25.0|안주
149|36|김치전||S$|12.0|기타
150|36|LA 두부||S$|9.0|안주
151|36|우리샐러드||S$|18.0|안주
152|36|닭똥집||S$|16.0|안주
153|36|떡볶이||S$|12.0|안주
154|36|골뱅이무침||S$|25.0|안주
155|36|오징어볶음||S$|20.0|안주
156|36|해물전||S$|12.0|안주
157|36|고등어구이||S$|13.0|안주
158|36|메기구이||S$|13.0|안주
159|36|김밥||S$|10.0|분식
160|36|김치만두국||S$|10.0|분식
161|36|김치말이국수||S$|7.0|분식
